failed_login_count,login_hour,new_device,new_ip,unique_locations,request_frequency,anomaly
0,15,1,0,1,8,0
1,13,0,0,1,10,0
16,3,0,0,2,90,1
3,11,0,0,2,6,0
21,0,1,0,5,56,1
23,23,1,0,5,67,1
3,20,0,0,1,1,0
0,11,0,0,1,1,0
3,19,0,0,1,9,0
12,23,1,1,5,30,1
0,16,0,1,1,10,0
3,18,0,0,1,5,0
11,1,0,0,2,41,1
3,15,0,1,1,9,0
30,5,1,0,3,61,1
14,2,0,0,5,77,1
29,1,0,0,5,67,1
25,3,0,0,4,35,1
0,15,0,0,2,7,0
3,18,1,0,1,4,0
2,12,1,0,1,10,0
1,18,0,1,2,9,0
0,12,1,0,2,4,0
1,18,0,1,1,8,0
24,1,0,1,2,80,1
2,20,0,0,1,4,0
2,16,0,0,2,6,0
27,2,0,0,5,89,1
12,0,1,0,4,98,1
9,4,0,0,4,29,1
2,19,1,0,1,5,0
1,19,1,1,1,3,0
28,0,1,0,3,97,1
2,20,0,0,2,3,0
0,11,0,0,1,2,0
2,15,0,0,1,4,0
2,12,0,0,1,7,0
3,10,1,1,2,6,0
0,15,0,0,2,2,0
10,3,0,0,2,63,1
3,19,0,1,1,10,0
1,8,0,0,1,4,0
23,4,1,0,2,66,1
11,1,1,0,5,34,1
22,3,0,1,5,67,1
1,15,0,0,2,8,0
2,17,0,0,1,2,0
3,20,0,0,2,9,0
3,17,0,1,1,2,0
0,16,0,0,2,3,0
26,3,0,0,4,60,1
0,9,1,1,1,5,0
23,4,0,0,2,56,1
2,14,0,1,2,10,0
0,10,0,1,1,10,0
3,8,1,0,1,1,0
2,13,0,0,1,5,0
3,19,0,0,1,5,0
3,20,0,0,2,10,0
1,15,0,1,2,9,0
0,16,0,0,1,9,0
6,2,0,1,4,79,1
3,18,0,0,1,6,0
3,10,1,0,1,3,0
23,23,0,0,3,46,1
2,18,1,0,1,8,0
1,17,0,0,1,10,0
2,19,0,1,2,6,0
1,15,0,1,1,1,0
13,5,1,1,4,58,1
1,10,0,0,2,6,0
0,18,1,0,1,7,0
0,17,0,0,1,9,0
8,3,0,1,3,62,1
0,11,0,0,1,7,0
2,13,0,0,2,2,0
0,15,0,0,2,9,0
0,10,0,0,1,7,0
3,10,0,0,1,8,0
29,1,0,1,2,36,1
3,18,1,1,2,8,0
0,16,0,0,1,6,0
1,8,0,0,1,6,0
0,14,0,0,1,1,0
2,15,0,1,1,6,0
28,1,0,0,3,35,1
2,19,0,1,1,9,0
0,18,0,0,1,2,0
3,9,0,1,1,4,0
0,12,1,0,1,10,0
1,14,0,0,1,2,0
3,11,0,0,1,6,0
2,10,0,1,1,8,0
0,8,0,0,2,3,0
0,19,0,0,1,8,0
2,12,1,0,1,3,0
2,13,0,1,1,2,0
0,8,0,0,1,6,0
17,3,1,1,5,73,1
1,9,0,0,1,2,0
3,20,1,0,2,6,0
13,5,1,0,3,63,1
22,4,0,0,3,84,1
13,0,0,1,5,50,1
0,15,1,1,1,8,0
22,0,0,1,3,78,1
2,13,0,0,2,6,0
3,19,0,1,1,2,0
1,8,0,0,1,9,0
24,1,0,0,5,47,1
25,23,0,1,5,95,1
1,15,0,0,2,10,0
1,19,0,0,1,7,0
2,16,1,1,1,5,0
2,12,1,0,1,7,0
2,19,0,0,1,4,0
2,18,0,0,1,9,0
2,19,0,0,2,10,0
17,1,0,0,3,54,1
22,0,1,1,2,98,1
1,19,1,0,1,1,0
29,23,1,0,4,95,1
1,20,0,0,2,3,0
0,10,0,0,2,1,0
2,10,0,0,1,6,0
1,8,0,0,1,10,0
10,4,0,0,5,89,1
3,9,0,0,1,6,0
2,11,1,0,1,6,0
1,8,0,1,1,7,0
2,8,0,1,2,1,0
1,13,0,0,1,9,0
0,11,0,1,1,4,0
3,18,0,0,1,8,0
0,9,0,0,1,5,0
1,12,1,1,2,7,0
7,2,0,1,4,97,1
0,12,1,1,2,1,0
1,10,1,0,1,5,0
2,8,0,0,1,1,0
25,23,0,0,3,48,1
2,11,0,0,1,9,0
0,12,0,0,1,4,0
3,13,0,0,1,2,0
0,11,0,1,2,6,0
15,1,0,1,4,66,1
1,18,0,1,2,8,0
2,15,0,0,1,5,0
1,16,0,0,1,2,0
0,17,1,0,1,9,0
3,18,0,0,2,4,0
2,10,1,0,2,6,0
23,5,0,1,4,25,1
1,20,1,0,1,5,0
0,18,0,0,2,8,0
0,8,0,0,1,5,0
1,14,1,0,1,9,0
1,16,1,0,1,8,0
25,2,0,0,3,40,1
2,17,0,0,2,6,0
18,0,0,0,3,93,1
1,10,0,0,1,3,0
24,3,1,0,3,72,1
1,20,0,0,1,6,0
21,23,1,0,2,42,1
3,17,0,0,1,8,0
0,20,1,1,1,1,0
3,11,1,1,1,10,0
0,14,0,0,2,4,0
0,12,1,0,1,1,0
0,17,0,0,2,4,0
2,14,0,0,1,7,0
2,12,1,0,1,7,0
3,16,1,0,1,9,0
2,12,0,1,1,2,0
3,20,0,0,1,9,0
2,20,0,0,2,1,0
7,4,0,1,5,98,1
26,23,1,0,2,96,1
1,17,0,0,1,4,0
1,9,0,1,1,7,0
1,16,0,0,1,9,0
2,13,0,0,1,8,0
14,2,0,1,4,76,1
3,17,1,0,1,8,0
0,15,0,0,1,7,0
1,18,0,0,2,6,0
0,19,0,0,1,2,0
23,2,0,0,5,45,1
12,23,1,0,2,35,1
0,18,1,0,1,8,0
2,15,0,1,1,9,0
1,20,0,0,2,8,0
0,16,0,1,1,8,0
3,13,0,0,1,7,0
2,13,0,0,1,4,0
2,13,0,1,2,4,0
2,13,1,0,2,3,0
30,5,0,1,2,42,1
3,15,0,0,2,5,0
0,14,0,0,1,4,0
3,18,0,1,1,5,0
2,13,0,1,1,6,0
1,17,0,0,1,6,0
3,20,1,0,2,10,0
15,1,1,1,4,54,1
5,1,0,1,2,46,1
1,14,0,0,1,8,0
0,20,1,0,1,5,0
0,18,1,0,1,4,0
16,23,1,1,5,89,1
2,16,1,0,1,10,0
7,3,1,1,5,53,1
1,12,0,0,1,6,0
0,19,1,1,1,1,0
2,17,0,0,1,4,0
7,3,0,1,4,88,1
2,14,0,0,1,3,0
3,17,1,0,2,4,0
1,8,0,0,1,5,0
11,2,1,1,5,67,1
29,3,0,1,3,44,1
2,14,0,0,1,7,0
3,11,0,0,2,2,0
1,15,1,0,1,3,0
6,23,0,0,3,75,1
2,8,0,0,1,7,0
20,0,1,0,2,65,1
1,19,0,0,2,4,0
2,20,1,0,1,7,0
1,12,0,1,2,9,0
3,11,0,0,1,8,0
1,9,0,1,1,5,0
3,8,1,0,1,10,0
1,13,0,1,1,9,0
21,5,0,0,3,42,1
25,23,1,1,4,26,1
2,11,0,0,1,8,0
0,15,0,0,2,6,0
11,4,0,0,3,88,1
3,11,0,0,1,9,0
3,19,0,0,2,7,0
1,20,0,1,1,3,0
3,13,0,0,1,7,0
3,19,0,0,1,7,0
2,13,1,1,2,1,0
2,17,0,0,1,1,0
1,11,0,0,1,9,0
16,4,0,0,4,58,1
0,17,1,0,1,6,0
1,15,0,0,1,10,0
0,20,0,0,2,7,0
0,20,0,0,2,1,0
28,3,1,0,3,75,1
23,5,0,1,4,30,1
3,16,1,0,1,8,0
3,14,0,0,1,2,0
3,13,0,0,2,7,0
1,13,0,0,1,3,0
16,1,0,0,2,51,1
1,12,0,0,1,5,0
0,13,0,0,1,9,0
2,16,1,0,1,7,0
0,12,0,0,1,4,0
2,8,1,0,1,7,0
2,9,0,0,2,4,0
0,13,1,0,1,4,0
3,16,0,0,1,9,0
3,14,0,0,1,6,0
2,11,0,0,1,7,0
0,16,0,0,1,6,0
1,9,1,0,2,4,0
3,12,0,1,1,4,0
1,10,0,0,2,3,0
1,13,0,0,1,6,0
1,19,0,0,2,7,0
24,4,1,0,3,49,1
0,13,0,1,1,9,0
3,19,0,0,2,8,0
1,11,0,0,2,1,0
3,11,0,0,1,3,0
3,17,1,0,2,4,0
0,17,1,0,2,10,0
0,16,0,1,2,1,0
1,16,1,0,2,9,0
0,11,0,1,2,5,0
2,15,0,1,1,10,0
1,15,1,0,1,3,0
23,5,0,1,2,52,1
2,19,0,0,1,2,0
2,9,1,0,2,9,0
1,13,0,0,1,3,0
0,14,0,0,2,5,0
0,10,0,0,1,1,0
3,16,0,1,1,4,0
3,15,1,1,1,10,0
25,2,0,0,2,93,1
2,13,0,0,1,7,0
1,18,0,0,2,10,0
0,9,0,0,1,7,0
13,2,1,0,3,98,1
0,9,0,1,1,7,0
2,12,0,0,2,9,0
5,3,0,0,5,72,1
0,13,0,0,1,4,0
2,20,0,0,1,9,0
0,9,0,0,2,10,0
0,10,0,0,1,8,0
0,18,0,1,1,8,0
2,15,1,0,1,10,0
9,2,0,1,5,100,1
1,17,1,0,1,5,0
2,19,0,0,2,2,0
1,13,1,0,1,9,0
0,13,0,0,1,8,0
3,16,0,0,1,8,0
2,20,0,0,1,9,0
14,0,0,1,5,25,1
0,16,0,0,1,4,0
1,12,0,0,2,2,0
1,12,0,0,1,4,0
24,2,1,0,3,23,1
17,1,1,1,4,62,1
1,19,0,1,1,2,0
12,1,1,1,5,43,1
8,2,1,1,3,56,1
2,17,0,0,2,2,0
0,20,0,1,2,10,0
1,16,0,1,2,2,0
3,20,1,0,1,3,0
0,19,1,0,2,6,0
24,23,1,1,5,27,1
0,11,0,0,1,3,0
2,14,1,0,1,6,0
2,14,0,0,1,10,0
3,10,0,0,1,9,0
27,4,1,1,5,71,1
17,23,1,1,3,56,1
1,10,0,0,1,3,0
3,18,1,0,1,3,0
3,15,1,0,2,9,0
3,14,0,0,1,7,0
3,19,0,0,2,9,0
0,8,1,0,1,10,0
0,10,0,1,1,9,0
15,4,0,1,5,85,1
3,17,0,1,1,5,0
0,19,0,0,1,8,0
21,0,1,1,3,98,1
23,5,0,1,4,42,1
2,20,0,1,1,9,0
2,9,0,0,2,7,0
1,18,1,0,1,10,0
2,8,0,0,1,3,0
3,12,1,0,2,7,0
1,16,1,0,1,8,0
2,16,0,0,1,7,0
2,13,0,0,1,5,0
3,15,0,0,1,3,0
8,5,1,1,3,56,1
2,11,0,0,1,1,0
26,23,0,0,3,52,1
2,15,0,1,1,7,0
2,12,0,0,1,1,0
11,4,1,0,5,33,1
1,16,1,0,1,8,0
20,1,0,0,5,54,1
1,19,0,1,1,9,0
17,5,1,0,4,62,1
2,14,0,0,1,9,0
2,9,1,0,1,3,0
3,18,0,0,2,2,0
5,5,0,1,5,28,1
30,5,0,1,2,47,1
3,18,0,0,1,1,0
3,18,0,1,1,4,0
1,8,0,0,1,2,0
1,17,0,0,1,8,0
1,9,0,1,1,7,0
13,1,1,0,4,90,1
1,15,0,0,1,2,0
10,0,1,1,5,36,1
1,10,0,1,2,4,0
0,17,0,1,1,5,0
0,16,0,0,1,9,0
8,23,0,1,5,42,1
13,2,1,0,2,26,1
1,10,0,1,1,2,0
8,2,0,0,3,72,1
1,14,0,0,2,10,0
3,10,0,1,1,7,0
3,19,0,0,1,4,0
0,19,0,0,1,2,0
3,14,0,0,1,5,0
1,17,0,0,2,9,0
1,17,1,1,1,1,0
1,11,0,1,1,10,0
21,3,1,0,5,83,1
1,9,0,1,1,3,0
19,23,0,1,5,37,1
3,10,0,1,1,2,0
2,16,0,0,2,5,0
1,20,0,0,1,9,0
2,8,0,1,1,8,0
2,13,0,0,1,3,0
1,16,0,1,1,4,0
2,16,1,0,1,2,0
3,15,0,1,1,8,0
0,11,1,0,1,7,0
2,9,0,0,1,2,0
3,10,0,0,1,7,0
1,15,0,1,2,1,0
0,8,0,0,2,10,0
30,2,0,1,3,81,1
2,12,0,0,1,5,0
1,17,0,0,1,3,0
1,10,0,0,1,6,0
3,12,0,0,1,9,0
2,13,0,0,2,9,0
2,9,0,1,2,3,0
2,10,0,0,1,8,0
1,20,1,0,1,8,0
1,18,0,0,1,7,0
1,15,0,0,1,1,0
19,5,0,1,3,82,1
2,17,0,0,2,3,0
3,13,1,0,1,5,0
2,15,0,0,2,7,0
2,10,1,1,1,10,0
1,11,0,1,1,2,0
19,5,0,0,3,68,1
2,16,1,0,1,10,0
3,11,0,0,1,5,0
3,9,0,1,1,8,0
1,8,0,0,2,2,0
2,17,1,1,1,8,0
15,3,0,1,3,26,1
2,13,1,0,1,5,0
0,16,0,0,1,10,0
2,13,0,0,1,2,0
2,10,0,0,1,6,0
3,13,0,0,1,3,0
9,0,1,1,4,66,1
1,15,0,0,1,1,0
9,0,1,0,2,22,1
26,4,0,1,2,52,1
0,9,0,0,1,2,0
28,2,1,1,3,84,1
11,2,0,0,2,47,1
3,13,0,1,1,3,0
3,14,0,0,2,2,0
2,9,1,0,1,8,0
14,3,1,1,3,90,1
3,12,1,0,1,8,0
2,10,0,1,1,7,0
0,9,0,1,2,10,0
1,9,0,0,1,4,0
3,9,0,1,2,5,0
2,20,1,0,2,10,0
20,3,0,0,2,32,1
0,9,1,0,1,7,0
2,10,0,0,1,9,0
3,11,0,1,2,9,0
2,20,0,0,2,2,0
26,23,1,0,5,75,1
1,12,1,1,1,10,0
3,15,0,0,2,5,0
6,1,1,1,2,100,1
2,14,0,1,1,6,0
0,18,0,0,1,5,0
0,12,0,0,1,1,0
0,15,1,1,1,1,0
20,0,0,1,5,84,1
2,10,0,0,2,4,0
0,16,0,0,1,1,0
3,20,0,0,1,10,0
0,17,1,1,1,6,0
2,16,0,1,1,4,0
2,17,1,0,1,9,0
3,11,1,0,2,10,0
28,5,1,1,5,60,1
0,18,0,1,1,5,0
5,1,1,1,5,91,1
13,23,1,0,2,82,1
0,8,0,0,1,2,0
28,4,0,1,5,31,1
1,17,0,0,1,10,0
13,3,1,1,2,82,1
2,19,0,0,2,8,0
2,20,0,0,2,6,0
0,18,0,0,1,5,0
2,18,0,0,1,8,0
10,3,1,1,2,55,1
0,20,1,1,2,6,0
0,10,0,0,1,7,0
2,15,0,0,1,8,0
1,8,1,0,1,6,0
0,10,0,0,2,6,0
16,1,1,1,3,22,1
0,16,0,0,2,4,0
16,1,0,0,5,78,1
3,9,0,0,1,5,0
14,5,0,1,3,72,1
1,8,0,0,1,10,0
15,5,1,0,5,74,1
2,9,0,0,1,6,0
3,13,0,0,1,9,0
10,4,1,1,5,36,1
0,13,1,0,1,2,0
1,15,0,0,2,5,0
2,17,0,0,2,3,0
12,1,0,1,4,40,1
3,14,0,1,1,8,0
3,15,1,0,1,2,0
1,12,0,0,1,10,0
20,5,0,1,2,56,1
19,23,1,1,4,96,1
6,23,1,1,2,29,1
3,9,1,0,1,4,0
3,9,0,0,1,7,0
2,18,0,0,1,8,0
2,18,0,0,1,6,0
3,15,1,1,1,10,0
0,20,1,0,1,7,0
0,8,0,1,1,3,0
0,12,1,1,1,8,0
1,18,0,0,2,5,0
0,8,0,1,2,2,0
2,13,0,0,1,2,0
3,10,0,1,1,2,0
2,13,1,1,1,6,0
1,11,0,0,1,2,0
0,8,1,0,1,3,0
3,19,1,1,1,10,0
11,0,0,0,2,46,1
14,23,1,0,5,74,1
0,9,0,0,2,8,0
3,17,0,0,1,10,0
3,8,0,0,1,7,0
3,19,0,0,2,7,0
3,11,0,0,2,10,0
0,12,1,1,1,8,0
2,15,1,0,1,5,0
3,13,1,0,1,10,0
2,17,1,0,1,7,0
2,20,1,0,1,5,0
20,0,1,1,4,50,1
1,16,0,0,1,5,0
12,0,0,1,4,63,1
2,20,0,0,1,9,0
0,19,0,1,2,2,0
0,16,0,0,1,2,0
16,2,0,0,3,76,1
3,20,0,0,2,6,0
1,9,0,0,2,6,0
1,10,1,0,1,7,0
3,15,0,0,2,3,0
0,9,0,0,2,3,0
3,20,0,0,1,9,0
3,14,0,0,1,1,0
1,19,1,1,1,9,0
22,2,1,0,4,47,1
30,4,1,0,4,74,1
0,19,0,0,1,9,0
0,20,0,1,1,10,0
3,13,0,0,1,5,0
1,19,1,0,1,6,0
1,20,0,1,1,3,0
3,9,0,0,2,3,0
3,9,0,1,2,5,0
3,15,1,1,1,3,0
3,19,1,0,1,4,0
0,19,0,0,1,10,0
16,2,1,1,4,82,1
0,20,0,0,2,1,0
16,0,0,1,5,93,1
2,17,1,0,2,8,0
28,2,0,1,5,49,1
3,13,0,1,1,2,0
0,17,0,0,1,4,0
0,17,0,1,1,2,0
1,8,0,0,1,10,0
2,14,0,1,1,6,0
8,4,0,1,3,43,1
2,20,0,0,1,7,0
0,17,0,0,1,1,0
0,13,0,1,1,5,0
0,8,0,0,1,8,0
3,9,0,0,1,8,0
0,15,0,1,1,1,0
25,4,0,0,4,89,1
19,23,1,0,2,27,1
3,12,0,1,1,4,0
2,8,0,0,1,2,0
0,10,0,1,1,10,0
15,2,0,1,4,22,1
1,18,0,1,1,1,0
3,16,1,1,1,2,0
3,18,0,0,2,10,0
1,20,0,0,2,6,0
24,5,1,0,3,83,1
25,3,0,1,5,41,1
23,23,0,1,3,22,1
2,18,1,0,2,1,0
2,14,1,0,1,9,0
2,16,0,0,1,5,0
23,23,0,0,5,29,1
1,11,0,0,1,2,0
0,8,1,1,1,10,0
2,12,0,0,2,4,0
0,13,0,0,2,2,0
0,9,0,0,2,6,0
0,20,0,0,2,1,0
3,9,0,0,1,5,0
3,9,1,0,1,8,0
3,17,0,0,1,8,0
1,9,0,0,1,10,0
1,17,0,0,1,7,0
23,3,1,1,3,38,1
3,12,0,0,1,1,0
11,5,0,0,4,44,1
3,19,1,0,1,10,0
5,5,0,0,5,99,1
1,11,1,0,2,4,0
0,13,0,0,1,1,0
1,12,1,0,1,1,0
1,11,0,0,1,5,0
13,0,0,0,5,34,1
2,11,0,1,1,6,0
1,16,1,0,1,3,0
1,20,0,0,2,6,0
3,18,0,0,1,9,0
1,13,0,0,1,3,0
3,11,0,1,1,3,0
2,15,1,0,1,6,0
3,19,1,1,1,10,0
0,11,0,0,2,4,0
2,14,1,0,1,5,0
1,20,0,0,2,9,0
0,15,0,1,2,8,0
19,1,1,0,4,30,1
16,0,0,1,3,62,1
